pod,locked_version,direct_pod_declaration,local_source,dependencies
React-Core-prebuilt,0.86.3,True,,ReactNativeDependencies
React-Core/CoreModulesHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/Default,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/DevSupport,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default (= 0.86.3); React-Core/RCTWebSocket (= 0.86.3); React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTActionSheetHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTAnimationHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTBlobHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTImageHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTLinkingHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTNetworkHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTSettingsHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTTextHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTVibrationHeaders,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default; React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-Core/RCTWebSocket,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default (= 0.86.3); React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-CoreModules,0.86.3,True,,RCTTypeSafety (= 0.86.3); React-Core-prebuilt; React-Core/CoreModulesHeaders (= 0.86.3); React-debug; React-featureflags; React-jsi (= 0.86.3); React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-NativeModulesApple; React-RCTBlob; React-RCTFBReactNativeSpec; React-RCTImage (= 0.86.3); React-runtimeexecutor; React-utils; ReactCommon; ReactNativeDependencies
React-cxxreact,0.86.3,True,,hermes-engine; React-callinvoker (= 0.86.3); React-Core-prebuilt; React-debug (= 0.86.3); React-jsi (= 0.86.3); React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-logger (= 0.86.3); React-perflogger (= 0.86.3); React-runtimeexecutor; React-timing (= 0.86.3); React-utils; ReactNativeDependencies
React-debug,0.86.3,True,,React-debug/redbox (= 0.86.3)
React-debug/redbox,0.86.3,True,,
React-defaultsnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-domnativemodule; React-Fabric/animated; React-featureflags; React-featureflagsnativemodule; React-idlecallbacksnativemodule; React-intersectionobservernativemodule; React-jsi; React-jsiexecutor; React-microtasksnativemodule; React-mutationobservernativemodule; React-RCTFBReactNativeSpec; React-viewtransitionnativemodule; React-webperformancenativemodule; ReactNativeDependencies; Yoga
React-domnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-Fabric; React-Fabric/bridging; React-FabricComponents; React-graphics; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; React-runtimeexecutor; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-Fabric,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/animated (= 0.86.3); React-Fabric/animationbackend (= 0.86.3); React-Fabric/animations (= 0.86.3); React-Fabric/attributedstring (= 0.86.3); React-Fabric/bridging (= 0.86.3); React-Fabric/componentregistry (= 0.86.3); React-Fabric/componentregistrynative (= 0.86.3); React-Fabric/components (= 0.86.3); React-Fabric/consistency (= 0.86.3); React-Fabric/core (= 0.86.3); React-Fabric/dom (= 0.86.3); React-Fabric/imagemanager (= 0.86.3); React-Fabric/leakchecker (= 0.86.3); React-Fabric/mounting (= 0.86.3); React-Fabric/observers (= 0.86.3); React-Fabric/scheduler (= 0.86.3); React-Fabric/telemetry (= 0.86.3); React-Fabric/uimanager (= 0.86.3); React-Fabric/viewtransition (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/animated,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/animationbackend; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/animationbackend,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/animations,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/attributedstring,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/bridging,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/componentregistry,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
